TEMP:	MU:	SIGMA:	H:	ERROR:
2.9925	0.425255	1.09544	-0.0964837	0.0291413
2.9925	0.607646	1.16825	0.255335	0.0471174
2.9925	0.45527	1.07517	-0.171819	0.0214525
2.9925	0.4024	1.04851	-0.17493	0.0173044
2.9925	0.342246	0.990479	-0.240165	0.0114639
2.9925	0.293013	0.948886	-0.26286	0.00818696
2.9925	0.19016	1.04485	-0.226521	0.0129767
2.9925	0.225583	1.119	-0.168145	0.0190359
2.9925	0.410056	1.23542	0.244044	0.0515241
2.9925	0.437318	1.18577	0.0586671	0.0409591
2.9925	0.460215	1.14951	0.004768	0.0322896
2.9925	0.467598	1.26901	0.359242	0.0881888
2.9925	0.602256	1.21017	0.357535	0.0655965
2.9925	0.482221	1.20854	0.133847	0.037915
2.9925	0.394148	1.06466	-0.166888	0.0198058
2.9925	0.229833	1.0987	-0.191012	0.0232846
2.9925	0.115236	1.0364	-0.236983	0.020354
2.9925	0.176284	1.04708	-0.218116	0.0159447
2.9925	0.0257268	0.958751	-0.237775	0.00954067
2.9925	0.0257268	0.958751	-0.24489	0.00784168
2.9925	0.165634	0.8859	-0.19942	0.0115229
2.9925	0.0251861	0.909625	-0.221539	0.0090382
2.9925	0.122865	0.804742	-0.118865	0.00803383
2.9925	0.0893964	0.731145	-0.00844017	0.00895044
2.9925	0.226696	0.872545	-0.214125	0.00670665
2.9925	0.339301	0.961652	-0.26491	0.00821889
2.9925	0.448317	0.994177	-0.205743	0.0188919
2.9925	0.583325	0.875044	-0.270297	0.0140399
2.9925	0.548457	0.802846	-0.294443	0.00661025
2.9925	0.574975	0.870855	-0.266775	0.0139891
2.9925	0.629487	0.804266	-0.310616	0.00973927
2.9925	0.73113	0.834092	-0.28611	0.0130465
2.9925	0.604934	0.934828	-0.216521	0.0147972
2.9925	0.604934	0.934828	-0.216521	0.0147972
2.9925	0.471164	0.861969	-0.267083	0.00882807
2.9925	0.43058	0.785224	-0.242545	0.00662797
2.9925	0.592459	0.664785	-0.322833	0.00445892
2.9925	0.769459	0.766469	-0.334914	0.0121527
2.9925	0.852395	0.627745	-0.435433	0.00573194
2.9925	0.858405	0.727156	-0.369092	0.00938397
2.9925	0.659306	0.609638	-0.378015	0.00365844
2.9925	0.616381	0.623674	-0.329889	0.00417058
2.9925	0.658755	0.562388	-0.350946	0.00494858
2.9925	0.849972	0.456436	-0.0558393	0.012734
2.9925	0.860374	0.585401	-0.425169	0.00339998
2.9925	1.01902	0.476498	-0.0523577	0.00861237
2.9925	0.849056	0.382442	0.460613	0.0227008
2.9925	0.849056	0.382442	0.460613	0.0227008
2.9925	0.884427	0.419813	0.166006	0.0154461
2.9925	0.850765	0.429457	0.0859342	0.0149277
2.9925	1.03822	0.488574	-0.0637514	0.00715765
2.9925	1.06507	0.472806	0.0232496	0.00873928
2.9925	1.00406	0.502016	-0.138451	0.00602969
2.9925	1.01422	0.553957	-0.224981	0.00612761
2.9925	0.892702	0.640191	-0.407741	0.0054097
2.9925	0.963517	0.617506	-0.339395	0.00771695
2.9925	1.14849	0.713897	0.295855	0.0304927
2.9925	1.04645	0.58174	-0.203405	0.00641267
2.9925	1.09412	0.48829	0.0307982	0.00623737
2.9925	0.949092	0.561329	-0.324031	0.00469394
2.9925	1.14029	0.48508	0.117375	0.00730158
2.9925	1.14539	0.36735	0.616452	0.0241672
2.9925	1.12757	0.429136	0.275362	0.0105423
2.9925	1.07326	0.447181	0.142042	0.00917251
2.9925	1.1688	0.594268	0.135603	0.0125474
2.9925	1.18164	0.71648	0.427286	0.0292481
2.9925	1.15165	0.649731	0.162886	0.0166915
2.9925	1.15165	0.649731	0.162886	0.0166915
2.9925	1.00899	0.718289	-0.128027	0.0180519
2.9925	1.01812	0.794601	0.058103	0.0263177
2.9925	0.877585	0.839746	-0.109258	0.0229483
2.9925	0.878068	0.747024	-0.285536	0.0145486
2.9925	0.731387	0.886243	-0.217349	0.0154874
2.9925	0.804298	0.906599	-0.0867067	0.0280832
2.9925	0.759586	1.03041	0.127846	0.0336881
2.9925	0.72581	1.03669	0.137118	0.0410077
2.9925	0.737602	0.922105	-0.163328	0.0204827
2.9925	0.925273	0.902435	0.128555	0.034262
2.9925	0.911963	1.03977	0.561434	0.0591885
2.9925	0.950176	0.975457	0.466404	0.0487233
2.9925	0.86945	1.10103	0.821979	0.0686037
2.9925	0.863485	1.0703	0.400227	0.0455623
2.9925	0.728822	1.14793	0.50774	0.0936973
2.9925	0.849745	1.23623	1.22261	0.0864531
2.9925	0.69893	1.197	0.51921	0.0565471
2.9925	0.601669	1.05244	-0.0566749	0.0304802
2.9925	0.493817	1.12357	0.0135097	0.0373545
2.9925	0.575035	1.17742	0.29417	0.0457307
2.9925	0.660406	1.1588	0.295528	0.0529712
2.9925	0.804843	1.25811	0.917723	0.0664149
2.9925	0.914558	1.39139	2.68892	0.177734
2.9925	1.01762	1.49424	4.13012	0.220774
2.9925	1.01762	1.49424	4.13012	0.220774
2.9925	0.833089	1.55404	3.30004	0.184084
2.9925	0.865427	1.65531	5.26308	0.270634
2.9925	0.888277	1.56013	4.47129	0.275076
2.9925	0.969263	1.525	4.23604	0.231905
