#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         323     1.62724     1.84811   0.0250045
         324     1.62707     1.84743   0.0249367
         325      1.6269     1.84675   0.0248692
         326     1.62673     1.84608    0.024802
         327     1.62658     1.84541   0.0247353
         328     1.62645     1.84474   0.0246689
         329     1.62632     1.84407   0.0246028
         330     1.62621     1.84341   0.0245371
         331      1.6261     1.84276   0.0244718
         332       1.626     1.84211   0.0244068
         333     1.62591     1.84146   0.0243421
         334     1.62581     1.84081   0.0242778
         335      1.6257     1.84017   0.0242138
         336     1.62558     1.83953   0.0241502
         337     1.62545     1.83889   0.0240869
         338     1.62529     1.83826   0.0240239
         339     1.62511     1.83763   0.0239612
         340     1.62488     1.83701   0.0238989
         341     1.62462     1.83639    0.023837
         342     1.62432     1.83577   0.0237753
         343     1.62396     1.83515    0.023714
         344     1.62354     1.83453   0.0236531
         345     1.62306     1.83392   0.0235925
         346      1.6225     1.83331   0.0235322
         347     1.62187      1.8327   0.0234722
         348     1.62114     1.83209   0.0234127
         349     1.62032     1.83148   0.0233534
         350     1.61939     1.83088   0.0232946
         351     1.61834     1.83027   0.0232361
         352     1.61717     1.82967    0.023178
         353     1.61586     1.82906   0.0231202
         354      1.6144     1.82846   0.0230629
         355     1.61278     1.82785   0.0230059
         356     1.61098     1.82724   0.0229493
         357     1.60899     1.82663   0.0228932
         358     1.60681     1.82601   0.0228375
         359     1.60441      1.8254   0.0227822
         360     1.60179     1.82477   0.0227274
         361     1.59894     1.82415    0.022673
         362     1.59583     1.82352   0.0226192
         363     1.59247     1.82288   0.0225658
         364     1.58885     1.82224    0.022513
         365     1.58496     1.82159   0.0224607
         366      1.5808     1.82093   0.0224089
         367     1.57637     1.82026   0.0223578
         368     1.57167     1.81959   0.0223072
         369     1.56672      1.8189   0.0222573
         370     1.56152     1.81821    0.022208
         371      1.5561      1.8175   0.0221594
         372     1.55049     1.81678   0.0221115
         373      1.5447     1.81605   0.0220642
         374     1.53879     1.81531   0.0220177
         375     1.53278     1.81456   0.0219718
         376     1.52673     1.81379   0.0219267
         377     1.52069     1.81302   0.0218823
         378     1.51471     1.81223   0.0218387
         379     1.50884     1.81143   0.0217957
         380     1.50316     1.81062   0.0217535
         381     1.49772     1.80979   0.0217119
         382     1.49259     1.80896   0.0216709
         383     1.48781     1.80813   0.0216305
         384     1.48346     1.80728   0.0215907
         385     1.47958     1.80643   0.0215514
         386      1.4762     1.80557   0.0215125
         387     1.47337     1.80472   0.0214741
         388     1.47111     1.80386   0.0214359
         389     1.46943       1.803   0.0213981
         390     1.46834     1.80214   0.0213604
         391     1.46783     1.80128   0.0213229
         392     1.46789     1.80043   0.0212854
         393      1.4685     1.79959    0.021248
         394     1.46962     1.79875   0.0212106
         395     1.47122     1.79792   0.0211731
         396     1.47325      1.7971   0.0211355
         397     1.47568     1.79629   0.0210978
         398     1.47845     1.79549   0.0210599
         399     1.48153     1.79471   0.0210218
         400     1.48488     1.79393   0.0209835
         401     1.48845     1.79317    0.020945
         402     1.49221     1.79242   0.0209063
         403     1.49613     1.79169   0.0208673
         404     1.50018     1.79096   0.0208281
         405     1.50435     1.79026   0.0207887
         406     1.50862     1.78956   0.0207491
         407     1.51297     1.78888   0.0207092
         408      1.5174     1.78822   0.0206692
         409      1.5219     1.78757   0.0206289
         410     1.52646     1.78693   0.0205884
         411     1.53107     1.78631   0.0205477
         412     1.53574      1.7857   0.0205068
         413     1.54047     1.78511   0.0204658
         414     1.54525     1.78453   0.0204245
         415     1.55007     1.78396   0.0203831
         416     1.55495     1.78341   0.0203416
         417     1.55987     1.78287   0.0202998
         418     1.56482     1.78235    0.020258
         419      1.5698     1.78185    0.020216
         420      1.5748     1.78135   0.0201739
         421     1.57982     1.78087   0.0201316
         422     1.58483     1.78041   0.0200893
         423     1.58982     1.77996   0.0200468
         424     1.59477     1.77952   0.0200043
         425     1.59968      1.7791   0.0199617
         426     1.60452     1.77869   0.0199191
         427     1.60927     1.77829   0.0198764
         428     1.61391     1.77791   0.0198336
         429     1.61842     1.77754   0.0197909
         430     1.62278     1.77718   0.0197481
         431     1.62698     1.77683   0.0197054
         432     1.63098     1.77649   0.0196627
         433     1.63477     1.77616     0.01962
         434     1.63833     1.77585   0.0195773
         435     1.64165     1.77554   0.0195348
         436      1.6447     1.77524   0.0194923
         437     1.64747     1.77494   0.0194499
         438     1.64994     1.77466   0.0194075
         439     1.65211     1.77438   0.0193653
         440     1.65396     1.77411   0.0193233
         441     1.65549     1.77384   0.0192813
         442     1.65668     1.77357   0.0192395
         443     1.65752     1.77331   0.0191979
         444     1.65802     1.77305   0.0191564
         445     1.65818     1.77279   0.0191151
         446     1.65799     1.77254    0.019074
         447     1.65746     1.77228    0.019033
         448     1.65659     1.77202   0.0189923
         449     1.65539     1.77176   0.0189518
         450     1.65387      1.7715   0.0189115
         451     1.65203     1.77123   0.0188714
         452     1.64988     1.77096   0.0188315
