#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         247      1.1073     1.27649   0.0210034
         248     1.10716     1.27581   0.0209298
         249     1.10696     1.27513   0.0208568
         250     1.10668     1.27446   0.0207842
         251     1.10634     1.27379   0.0207122
         252     1.10593     1.27312   0.0206407
         253     1.10544     1.27246   0.0205698
         254     1.10489      1.2718   0.0204994
         255     1.10426     1.27114   0.0204295
         256     1.10356     1.27049   0.0203602
         257      1.1028     1.26983   0.0202914
         258     1.10196     1.26918   0.0202232
         259     1.10107     1.26853   0.0201555
         260     1.10011     1.26789   0.0200884
         261      1.0991     1.26724   0.0200218
         262     1.09804     1.26659   0.0199558
         263     1.09694     1.26595   0.0198904
         264     1.09581      1.2653   0.0198255
         265     1.09464     1.26466   0.0197611
         266     1.09346     1.26402   0.0196973
         267     1.09227     1.26337    0.019634
         268     1.09107     1.26273   0.0195713
         269     1.08988     1.26209   0.0195091
         270     1.08871     1.26145   0.0194474
         271     1.08756      1.2608   0.0193862
         272     1.08645     1.26016   0.0193255
         273     1.08539     1.25952   0.0192654
         274     1.08437     1.25888   0.0192056
         275     1.08341     1.25825   0.0191464
         276     1.08252     1.25761   0.0190876
         277      1.0817     1.25697   0.0190293
         278     1.08096     1.25634   0.0189713
         279     1.08029     1.25571   0.0189138
         280     1.07971     1.25508   0.0188567
         281     1.07921     1.25446      0.0188
         282     1.07879     1.25383   0.0187437
         283     1.07846     1.25321   0.0186877
         284     1.07821      1.2526    0.018632
         285     1.07805     1.25198   0.0185767
         286     1.07796     1.25138   0.0185217
         287     1.07795     1.25077    0.018467
         288     1.07802     1.25017   0.0184127
         289     1.07814     1.24958   0.0183586
         290     1.07834     1.24899   0.0183048
         291     1.07858      1.2484   0.0182512
         292     1.07888     1.24782   0.0181979
         293     1.07922     1.24724   0.0181449
         294     1.07959     1.24667   0.0180922
         295        1.08     1.24611   0.0180397
         296     1.08042     1.24555   0.0179874
         297     1.08086       1.245   0.0179354
         298     1.08131     1.24445   0.0178836
         299     1.08176      1.2439   0.0178321
         300     1.08221     1.24336   0.0177808
         301     1.08265     1.24283   0.0177297
         302     1.08307      1.2423   0.0176789
         303     1.08347     1.24178   0.0176283
         304     1.08384     1.24126    0.017578
         305     1.08418     1.24074   0.0175279
         306     1.08449     1.24023    0.017478
         307     1.08476     1.23972   0.0174284
         308       1.085     1.23922   0.0173791
         309      1.0852     1.23872     0.01733
         310     1.08535     1.23823   0.0172812
         311     1.08547     1.23774   0.0172326
         312     1.08555     1.23725   0.0171842
         313     1.08559     1.23677   0.0171362
         314      1.0856     1.23628   0.0170884
         315     1.08559     1.23581   0.0170408
         316     1.08554     1.23533   0.0169935
         317     1.08547     1.23486   0.0169465
         318     1.08539     1.23439   0.0168997
         319     1.08529     1.23392   0.0168532
         320     1.08518     1.23345   0.0168069
         321     1.08507     1.23299   0.0167609
         322     1.08495     1.23253   0.0167152
         323     1.08483     1.23208   0.0166697
         324     1.08471     1.23162   0.0166244
         325      1.0846     1.23117   0.0165794
         326     1.08449     1.23072   0.0165347
         327     1.08439     1.23027   0.0164902
         328      1.0843     1.22983   0.0164459
         329     1.08421     1.22938   0.0164019
         330     1.08414     1.22894   0.0163581
         331     1.08407     1.22851   0.0163145
         332       1.084     1.22807   0.0162712
         333     1.08394     1.22764   0.0162281
         334     1.08387     1.22721   0.0161852
         335      1.0838     1.22678   0.0161425
         336     1.08372     1.22635   0.0161001
         337     1.08363     1.22593   0.0160579
         338     1.08353     1.22551   0.0160159
         339      1.0834     1.22509   0.0159742
         340     1.08326     1.22467   0.0159326
         341     1.08308     1.22426   0.0158913
         342     1.08288     1.22384   0.0158502
         343     1.08264     1.22343   0.0158094
         344     1.08236     1.22302   0.0157687
         345     1.08204     1.22261   0.0157283
         346     1.08167     1.22221   0.0156881
         347     1.08124      1.2218   0.0156482
         348     1.08076     1.22139   0.0156084
         349     1.08021     1.22099    0.015569
         350     1.07959     1.22059   0.0155297
         351      1.0789     1.22018   0.0154907
         352     1.07811     1.21978    0.015452
         353     1.07724     1.21937   0.0154135
         354     1.07627     1.21897   0.0153752
         355     1.07518     1.21857   0.0153373
         356     1.07399     1.21816   0.0152996
         357     1.07266     1.21775   0.0152621
         358     1.07121     1.21734    0.015225
         359     1.06961     1.21693   0.0151881
         360     1.06786     1.21652   0.0151516
         361     1.06596      1.2161   0.0151154
         362     1.06389     1.21568   0.0150794
         363     1.06165     1.21525   0.0150439
         364     1.05923     1.21483   0.0150086
         365     1.05664     1.21439   0.0149738
         366     1.05387     1.21395   0.0149393
         367     1.05091     1.21351   0.0149052
         368     1.04778     1.21306   0.0148715
         369     1.04448      1.2126   0.0148382
         370     1.04101     1.21214   0.0148053
         371      1.0374     1.21167   0.0147729
         372     1.03366     1.21119    0.014741
         373      1.0298      1.2107   0.0147095
         374     1.02586     1.21021   0.0146784
         375     1.02185     1.20971   0.0146479
         376     1.01782      1.2092   0.0146178
         377     1.01379     1.20868   0.0145882
         378      1.0098     1.20815   0.0145591
         379      1.0059     1.20762   0.0145305
         380     1.00211     1.20708   0.0145023
         381    0.998481     1.20653   0.0144746
         382    0.995058     1.20598   0.0144473
         383    0.991877     1.20542   0.0144204
         384    0.988974     1.20485   0.0143938
         385    0.986384     1.20429   0.0143676
         386    0.984134     1.20372   0.0143417
         387    0.982246     1.20314   0.0143161
         388    0.980738     1.20257   0.0142906
         389    0.979619       1.202   0.0142654
         390    0.978892     1.20143   0.0142403
         391    0.978554     1.20086   0.0142153
         392    0.978595     1.20029   0.0141903
         393    0.978999     1.19972   0.0141653
         394    0.979747     1.19917   0.0141404
         395    0.980813     1.19861   0.0141154
         396    0.982169     1.19807   0.0140903
         397    0.983786     1.19753   0.0140652
         398    0.985636       1.197   0.0140399
         399     0.98769     1.19647   0.0140145
         400     0.98992     1.19595    0.013989
         401      0.9923     1.19545   0.0139633
         402    0.994806     1.19495   0.0139375
         403    0.997419     1.19446   0.0139115
         404     1.00012     1.19398   0.0138854
         405      1.0029      1.1935   0.0138591
         406     1.00575     1.19304   0.0138327
         407     1.00865     1.19259   0.0138061
         408      1.0116     1.19215   0.0137794
         409      1.0146     1.19171   0.0137526
         410     1.01764     1.19129   0.0137256
         411     1.02071     1.19087   0.0136985
